brand,model,announced,display_resolution,OS,internal_memory,RAM,battery,approx_price_EUR
Oppo,U705T Ulike 2,2012  November,4.5 inches (~69.0% screen-to-body ratio),Android,16.0,1.0,Non-removable Li-Ion 2020 mAh battery,280.0
Nokia,Lumia 925,2013  May,4.5 inches (~63.3% screen-to-body ratio),Windows Phone,16.0,1.0,Non-removable Li-Ion 2000 mAh battery (BL-4YW),260.0
BLU,Vivo 4.8 HD,2014  January,4.8 inches (~66.2% screen-to-body ratio),Android,16.0,1.0,Non-removable Li-Ion 2000 mAh battery,160.0
alcatel,Idol Alpha,2013  September,4.7 inches (~66.3% screen-to-body ratio),Android,16.0,1.0,Non-removable Li-Ion 2000 mAh battery,360.0
BLU,Life One,2013  March. Released 2013  April,5.0 inches (~65.6% screen-to-body ratio),Android,16.0,1.0,Non-removable Li-Ion 2000 mAh battery,230.0
Oppo,R819,2013  August,4.7 inches (~65.6% screen-to-body ratio),Android,16.0,1.0,Non-removable Li-Ion 2000 mAh battery,250.0
HTC,Evo 4G LTE,2012  April,4.7 inches (~65.6% screen-to-body ratio),Android,16.0,1.0,Non-removable Li-Ion 2000 mAh battery,180.0
Gionee,Elife E5,2013,4.8 inches (~67.2% screen-to-body ratio),Android,16.0,1.0,Non-removable Li-Ion 2000 mAh battery,200.0
Sony,Xperia acro S,2012  May,4.3 inches (~61.3% screen-to-body ratio),Android,16.0,1.0,Non-removable Li-Ion 1910 mAh battery,230.0
Samsung,Galaxy A3,2014  October,4.5 inches (~65.5% screen-to-body ratio),Android,16.0,1.0,Non-removable Li-Ion 1900 mAh battery,190.0
Samsung,Galaxy A3 Duos,2014  October,4.5 inches (~65.5% screen-to-body ratio),Android,16.0,1.0,Non-removable Li-Ion 1900 mAh battery,230.0
Sony,Xperia ion LTE,2012  January,4.55 inches (~63.1% screen-to-body ratio),Android,16.0,1.0,Non-removable Li-Ion 1900 mAh battery,210.0
Sony,Xperia T LTE,2012  October,4.55 inches (~65.5% screen-to-body ratio),Android,16.0,1.0,Non-removable Li-Ion 1850 mAh battery,350.0
Sony,Xperia T,2012  August,4.55 inches (~65.5% screen-to-body ratio),Android,16.0,1.0,Non-removable Li-Ion 1850 mAh battery,230.0
alcatel,One Touch Idol Ultra,2013  January,4.65 inches (~64.7% screen-to-body ratio),Android,16.0,1.0,Non-removable Li-Ion 1800 mAh battery,270.0
HTC,Windows Phone 8X,2012  September,4.3 inches (~58.2% screen-to-body ratio),Windows Phone,16.0,1.0,Non-removable Li-Ion 1800 mAh battery,170.0
HTC,Windows Phone 8X CDMA,2012  November,4.3 inches (~58.2% screen-to-body ratio),Windows Phone,16.0,1.0,Non-removable Li-Ion 1800 mAh battery,200.0
Motorola,DROID 4 XT894,2012  January,4.0 inches (~51.6% screen-to-body ratio),Android,16.0,1.0,Non-removable Li-Ion 1785 mAh battery,260.0
Motorola,DROID RAZR XT912,2011  October,4.3 inches (~56.6% screen-to-body ratio),Android,16.0,1.0,Non-removable Li-Ion 1780 mAh battery,220.0
Motorola,RAZR XT910,2011  October,4.3 inches (~56.6% screen-to-body ratio),Android,16.0,1.0,Non-removable Li-Ion 1780 mAh battery,220.0
Meizu,MX,2011  December,4.0 inches (~62.0% screen-to-body ratio),Android,16.0,1.0,Non-removable Li-Ion 1600 mAh battery,270.0
Oppo,Find,2012  June,4.3 inches (~63.8% screen-to-body ratio),Android,16.0,1.0,Non-removable Li-Ion 1500 mAh battery,100.0
Sony,Xperia P,2012  February,4.0 inches (~60.8% screen-to-body ratio),Android,16.0,1.0,Non-removable Li-Ion 1305 mAh battery,210.0
Vodafone,Tab Prime 6,2015  May,9.6 inches (~75.0% screen-to-body ratio),Android,16.0,1.0,Non-removable 4600 mAh battery,210.0
Allview,P7 Xtreme,2014  April,4.7 inches (~65.7% screen-to-body ratio),Android,16.0,1.0,Non-removable 2200 mAh battery,290.0
QMobile,QTab X50,2014  June,8.0 inches,Android,16.0,1.0,Li-Ion 4500 mAh battery,160.0
QMobile,Noir V4,2014  January,5.7 inches (~67.4% screen-to-body ratio),Android,16.0,1.0,Li-Ion 2600 mAh battery,180.0
Karbonn,S9 Titanium,2013  July,5.5 inches,Android,16.0,1.0,Li-Ion 2600 mAh battery,170.0
Micromax,Canvas Fire 5 Q386,2016  June,5.5 inches,Android,16.0,1.0,Li-Ion 2500 mAh battery,80.0
QMobile,Noir A750,2015  February,5.0 inches (~64.6% screen-to-body ratio),Android,16.0,1.0,Li-Ion 2000 mAh battery,220.0
QMobile,Noir Z3,2013  September,4.8 inches (~67.2% screen-to-body ratio),Android,16.0,1.0,Li-Ion 2000 mAh battery,210.0
