brand,model,announced,display_resolution,OS,internal_memory,RAM,battery,approx_price_EUR
Sony,Xperia Z1,2013  September,5.0 inches (~64.7% screen-to-body ratio),Android,16,2,Non-removable Li-Ion 3000 mAh battery,330
Vodafone,Smart ultra 7,2016  June,5.5 inches (~70.2% screen-to-body ratio),Android,16,2,Non-removable Li-Ion 2960 mAh battery,160
Samsung,Galaxy E7,2015  January,5.5 inches (~71.4% screen-to-body ratio),Android,16,2,Non-removable Li-Ion 2950 mAh battery,230
Sony,Xperia C5 Ultra Dual,2015  August,6.0 inches (~75.9% screen-to-body ratio),Android,16,2,Non-removable Li-Ion 2930 mAh battery,350
Sony,Xperia C5 Ultra,2015  August,6.0 inches (~75.9% screen-to-body ratio),Android,16,2,Non-removable Li-Ion 2930 mAh battery,310
alcatel,Idol 3C,2015  September,5.5 inches (~72.7% screen-to-body ratio),Android,16,2,Non-removable Li-Ion 2910 mAh battery,
alcatel,Idol 3 (5.5),2015  March,5.5 inches (~72.7% screen-to-body ratio),Android,16,2,Non-removable Li-Ion 2910 mAh battery,250
ZTE,nubia Z9 mini,2015  March,5.0 inches (~69.9% screen-to-body ratio),Android,16,2,Non-removable Li-Ion 2900 mAh battery,170
BLU,Life One X (2016),2015  December,5.2 inches (~67.7% screen-to-body ratio),Android,16,2,Non-removable Li-Ion 2900 mAh battery,
Samsung,Galaxy A5 (2016),2015  December,5.2 inches (~72.5% screen-to-body ratio),Android,16,2,Non-removable Li-Ion 2900 mAh battery,270
BlackBerry,Z30,2013  September,5.0 inches (~68.0% screen-to-body ratio),BlackBerry,16,2,Non-removable Li-Ion 2880 mAh battery,180
Archos,Diamond Plus,2015  September,5.5 inches (~71.5% screen-to-body ratio),Android,16,2,Non-removable Li-Ion 2850 mAh battery,
Intex,Aqua GenX,2015  August,5.5 inches (~71.5% screen-to-body ratio),Android,16,2,Non-removable Li-Ion 2850 mAh battery,
HTC,One S9,2016  April,5.0 inches (~68.4% screen-to-body ratio),Android,16,2,Non-removable Li-Ion 2840 mAh battery,270
ZTE,Blade V8 Mini,2017  February,5.0 inches (~68.6% screen-to-body ratio),Android,16,2,Non-removable Li-Ion 2800 mAh battery,
HTC,Desire 828 dual sim,2015  November,5.5 inches (~67.0% screen-to-body ratio),Android,16,2,Non-removable Li-Ion 2800 mAh battery,250
BlackBerry,Leap,2015  March,5.0 inches (~65.7% screen-to-body ratio),BlackBerry,16,2,Non-removable Li-Ion 2800 mAh battery,170
BlackBerry,Z20,,5.0 inches (~67.6% screen-to-body ratio),BlackBerry,16,2,Non-removable Li-Ion 2800 mAh battery,
